feature,importance
Case_Count_lag_1,0.25961038
Case_Count_lag_3,0.18974568
Case_Count_lag_2,0.16360736
Case_Count_lag_4,0.07088103
Case_Count_lag_5,0.03730031
Case_Count_lag_14,0.029961713
Case_Count_lag_12,0.025930343
Region_41,0.025286622
Year_x,0.02251025
Case_Count_lag_8,0.021519722
Case_Count_lag_7,0.020198056
Case_Count_lag_9,0.01888876
Case_Count_lag_11,0.01806702
MinGrassTemp,0.01574479
MaxSnowDepth,0.014847276
Case_Count_lag_10,0.014169535
MaxNewSnowDepth,0.012023983
Case_Count_lag_6,0.0119994115
NO2,0.009940858
Region_28,0.00971646
Case_Count_lag_13,0.008050466
