feature,importance
Case_Count_lag_1,0.32509404
Case_Count_lag_2,0.17660855
Case_Count_lag_5,0.16184857
Case_Count_lag_3,0.05337766
Region_41,0.05272742
Region_26,0.04095082
Case_Count_lag_6,0.039606214
Case_Count_lag_4,0.029870927
Case_Count_lag_7,0.018101383
Case_Count_lag_10,0.015536827
Case_Count_lag_8,0.011509907
Case_Count_rolling_mean_14,0.011251158
Case_Count_lag_9,0.010293878
Case_Count_lag_11,0.008110732
Case_Count_lag_6_rolling_mean_7,0.0077496227
Case_Count_lag_12,0.0074609886
Case_Count_lag_14,0.007055726
Region_49,0.006616509
PM10_lag_5_rolling_mean_3,0.0055377637
Region_28,0.0053605326
Case_Count_lag_13,0.0053306837
